Model,Accuracy,Precision,Recall,F1-score,ROC-AUC (test),CV ROC-AUC (mean),CV ROC-AUC (std)
Random Forest,0.7337662337662337,0.6444444444444445,0.5370370370370371,0.5858585858585859,0.8170370370370371,0.8217144241417497,0.021539919634147833
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,0.8428336101882612,0.018955495726884704
TabTransformer,0.7337662337662337,0.6444444444444445,0.5370370370370371,0.5858585858585859,0.8107407407407407,,
SVM (RBF),0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889,0.8337140088593576,0.02207775887000172
